"Name","Count","Count","Num Gifts","Kind (Expert, Hostile, Mission)","Flavor text","Mission Reward","","","","","","","","","","","","","","","","","","","",""
"Ambush","1","Upon entering the palace the host attacks you unexpectedly. You may either fight back or flee to adjacent Sea Circle.","0","Hostile","There are harbors there for hiding ships, / Entrances on either side. The Achaeans awaited him there, lying in ambush (Homer _Odyssey_ 4.846–7).","","","","","","","","","","","","","","","","","","","","",""
"Supply Shortage","1","Your Host has been weakened by recent raids from hinterland tribes and his storerooms are low. You may immediately attempt to ally this palace at Rank -1, but may not use gifts just recieved. ","Rank - 1","Mission","Take me alive, and I will ransom myself. For in my home is / Bronze and gold and much-worked iron (Homer _Iliad_ 10.378–9).","","","","","","","","","","","","","","","","","","","","",""
"Chief Herald","1","The King and Queen are swayed by your cause; this Palace immediately becomes your Ally. They bid their Chief Herald join your compay. Take Chief Herald from the Expert Pool, if available. ","Rank","Expert","The herald Peisenor, knowing wise counsels, / Placed a scepter in his hand (Homer _Odyssey_ 2.337–8).","","","","","","","","","","","","","","","","","","","","",""
"Contest","1","Following a feast, the overweening sons of local nobles challenge your athletic prowess. If you accept roll three dice. Lose one hit point for each failure. If you get at least two successes, draw the first gold Gift you can find in the Gift Pool.","Rank","","Come, friends, let us ask the stranger if he knows / And has learned any contest (Homer _Odyssey_ 8.133–4).","","","","","","","","","","","","","","","","","","","","",""
"Elite Merchant","1","You are welcomed at the Palace. When you return to the harbor, you find a ship trafficking in elite goods. Draw 10 Gifts from the Gift Pool, then you may swap any light gifts with other light gifts that you have. ","Rank","Expert","And there came Phoenicians, ship-famed men /... hauling countless fine trinkets in their dark ship (Homer _Odyssey_ 15.415–16).","","","","","","","","","","","","","","","","","","","","",""
"Expert Helmsman","1","The King is moved by your plight and lends you his Expert Helmsman to assist in your voyage. Search the Expert pool for the Expert helmsman if available, otherwise draw one additional gift from Gift Pool.","Rank","Expert","Phrontis, son of Onestor, who surpassed the tribes of men in / ship-steering, whenever winds blew strong (Homer _Odyssey_ 3.282–3).","","","","","","","","","","","","","","","","","","","","",""
"Favorable Omen","1","You feast well, exchanging news and stories with the Queen and her court. As you weigh anchor, you see a flight of birds on your right hand: draw an additional Theme Card next turn. ","Rank +1","","Then for him, so speaking, flew on the right hand a bird, / A hawk, Apollo’s swift messenger. (Homer _Odyssey_ 15.525–6).","","","","","","","","","","","","","","","","","","","","",""
"Fugitive Diviner","1","Returning to your ship after a night of feasting, you meet a diviner fleeing his homeland for killing a man in a blood feud.  Seach the Expert Pool for the Fugitive Diviner.","Rank","Expert","Near him came a man / From far away, fleeing from Argos having killed a man— / A seer (Homer _Odyssey_ 15.223–5). ","","","","","","","","","","","","","","","","","","","","",""
"Gift to the Gods","1","The Queen's generosity is such that you are impelled to make a dedication at the palace shrine. Return one Gift to the Gift Pool.","Rank +1","","And a robe, whichever is most pleasing and great / In the palace, and most loved by you yourself, / Place it upon the knees of lovely-haired Athena (Homer _Iliad_ 6.271–3).","","","","","","","","","","","","","","","","","","","","",""
"Great Harvest","1","The Palace enjoyed an excellent harvest in its hinterland territories, and the royal couple are generous with their parting Gifts.","Rank +1","","The West Wind, blowing, causes some to grow, others to ripen— / Pear upon pear comes mature, and apple on apple, / And again grapes on grapes, fig on fig (Homer _Odyssey_ 7.119–21).","","","","","","","","","","","","","","","","","","","","",""
"Harbor Market","1","You are hosted in fine traditional style. Returning to the harbor, you find a merchant ship conducting a lively exchange. Draw six Gifts, You may exchange one or more of these for your own Gifts of equal or greater value (individually or as a lot).","Rank +1","","They got much profit in their hollow ship by trading. / But when indeed their hollow ship was laden for return... (Homer _Odyssey_ 15. 456–7).","","","","","","","","","","","","","","","","","","","","",""
"Expert Healer","1","The palace is celebrating the king's recovery from long illness, thanks to the ministrations of a Healer sent by a brother monarch. When you leave, the king asks you to take the Healer on the first part of his journey home. Search the Expert Pool for the Expert Healer if availabe; otherwise draw one additional Gift.","Rank","Expert","For a healer-man is worth many others, / For cutting out arrows and applying gentle drugs (Homer _Iliad_ 11.514–15).","","","","","","","","","","","","","","","","","","","","",""
