"NAME","COUNT","TEXT","TYPE","FLAVOR","","","","","","","","","","","","","","","","","","","","","",""
"ZEUS","1","Double your damage in this round of combat. OR cancel any Theme card.","DIVINE","And the Heroes at Troy were being killed, and the Will of Zeus was brought to pass ( _Cypria_ Fragment 1).","","","","","","","","","","","","","","","","","","","","","",""
"APHRODITE","1","Flip Willingness of all Helens. OR Secretly swap two Helens.","DIVINE","Thither I will not go—it would be a reproach— / Sharing that man’s bed (Homer _Iliad_ 3.410–11).","","","","","","","","","","","","","","","","","","","","","",""
"KINYRAS","1","Automatically Ally any rank two Palace. OR fully heal Hero and Crew.","DIVINE","","","","","","","","","","","","","","","","","","","","","","",""
"HERMES","1","Swap any two Helens not on ships (without examining).","DIVINE","Hermes swept me high into the skycoves / And concealing me in a cloud, brought me to the house of Proteus (Euripides _Helen_ 45–6).","","","","","","","","","","","","","","","","","","","","","",""
"POSEIDON","1","Cancel any Theme card that affects a Voyage.","DIVINE","Hear me, Poseidon Earth-Shaker, and do not refuse / To accomplish these deeds for us who pray. (Homer _Odyssey_ 3.55–6).","","","","","","","","","","","","","","","","","","","","","",""
"EIDOTHEA","1","Becalmed Hero automatically succeeds in wrestling and escaping Proteus ","DIVINE","Daughter of mighty Proteus, old man of the sea / Eidothea, for her heart most of all I stirred (Homer _Odyssey_ 4.365–6).","","","","","","","","","","","","","","","","","","","","","",""
"HERA","1","Immediately cancel one Storm OR Cause Storm in one Sea Region without Storm","DIVINE","Hera sends a great Storm against them, under the force of which they make for Sidοn (ps.-Apollodorus Epitome 3.4).","","","","","","","","","","","","","","","","","","","","","",""
"PROTEUS","1","Look at and rearrange the top four cards of the Voyage Deck.","DIVINE","","","","","","","","","","","","","","","","","","","","","","",""
"RUMORS","5","Add or remove one Region Visited Marker.","FORTUNE","A rumor you may hear / From Zeus, which very often brings reports to men (Homer _Odyssey_ 1.282–3).","","","","","","","","","","","","","","","","","","","","","",""
"DISGUISE","2","Treat a Visited Region as unvisited, or a Hostile Palace as Neutral, for this Turn.","FORTUNE","Disguised like that he entered the Trojans’ city and deceived they were, / Every one (Homer _Odyssey_ 4.249–50).","","","","","","","","","","","","","","","","","","","","","",""
"BIRD OMEN","2","Look at and rearrange the top four cards of the Hospitality Deck.","FORTUNE","Yet good were the omen-birds for him setting out, / On the right hand (Homer, _Odyssey_ 24.311–12).","","","","","","","","","","","","","","","","","","","","","",""
"NIGHT ATTACK","3","You may sack palace after hospitality, treat the palace as Rank -1","FORTUNE","","","","","","","","","","","","","","","","","","","","","","",""
"RESTFUL NIGHT","2","Recover all Crew and Hit Points during Upkeep.","FORTUNE","","","","","","","","","","","","","","","","","","","","","","",""
"PIRATES","9","Place two Pirates tokens. OR Move a pirate token up to three circles.","VOYAGE","Or do you rove at random / Like pirates over the sea who wander / Risking their souls, bringing evil to foreign people (Homer _Odyssey_ 3.72–4).","","","","","","","","","","","","","","","","","","","","","",""
"SHIFTING WIND","4","Rotate any Voyage card.","VOYAGE","And next for us behind our dark-prowed ship / A favorable wind she sent, sail-filling, a fair companion (Homer _Odyssey_ 11.6–7).","","","","","","","","","","","","","","","","","","","","","",""
"LEVIATHAN","1","Force a player in a non-shallow Sea Circle to discard Three gifts and lose three Crew.","VOYAGE","Or a great god may send me some monster / From the sea, the sort which famous Amphitrite nourishes in quantity (Homer _Odyssey_ 5.421–2).","","","","","","","","","","","","","","","","","","","","","",""
"MAN OVERBOARD","1","Force a player to discard an Expert, or to lose three Crew.","VOYAGE","There Phoebus Apollo the helmsman / Slew, attacking him with gentle bolts, / As he held the rudder in his hands while the ship sped on (Homer _Odyssey_ 3.279–81).","","","","","removed this card when working on trial combat dice activation system w Sylvan April 6 2025","","","","","","","","","","","","","","","","",""
"DIOSKOUROI","1","Gain six movement points.","VOYAGE","","","","","","","","","","","","","","","","","","","","","","",""
"STORMY SEAS","4","Move any Storm up to three Circles in any direction.","VOYAGE","","","","","","","","","","","","","","","","","","","","","","",""
"FAIR WIND AND SMOOTH SEAS","2","All Sea Circles cost 2 during your Turn.","VOYAGE","On the third day from Sparta, Alexandros reached Troy, carrying Helen, with a fair wind and smooth sea (Herodotus 2.117). ","","","","","","","","","","","","","","","","","","","","","",""
"ABUNDANCE","4","Recieve two extra Gifts during Hospitality. ","ECONOMIC","","","","","","","","","","","","","","","","","","","","","","",""
"CONTRIBUTIONS","3","Draw one Gift for each Ally you have. Each other player in a region with one of your Allies must also pay your one Gift. ","ECONOMIC","This mare Ekhepolos, son of Ankhises, gave to Agamemnon— / A gift, so as not to follow him to windy Ilion / But to stay at home enjoying himself (Homer _Iliad_ 23.296–8).","","","","","","","","","","","","","","","","","","","","","",""
"MASTER SHIPWORK","1","Attach this Card to your Ship after passing a complete turn at a Palace for Recovery and Refit, or when receiving a new Ship. Adds 2 Movement Points to all Voyage Cards.","VOYAGE","","Harmonides, who knew how to fashion all intricate things / By hand... / Who even built balanced Ships for Alexandros (Homer _Iliad_ 5.60–2).","","","","","","","","","","","","","","","","","","","","",""
"EOF","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOTAL","52","","","","","","","","","","","","","","","","","","","","","","","","",""
"","22","","","","","","","","","","","","","","","","","","","","","","","","",""
