"NAME","COUNT","CARGO TYPE (Heavy, Medium, Light, Raw, Pot)","checkerboard","REL FAME","SPECIAL TEXT","WEAPON, ARMOR, RANGED, EXPERT","SPECIAL RULE","Non Tradable","SIZE H","SIZE M","SIZE L","FAME * QUANTITY","","FAME","PACKAGE TYPE 1","PACKAGE TYPE 2","NAME","Cargo Type New","Symbology (Fist-Heart-Wits-Bulk-Midweight-Elite)"
"ALMONDS","1","H","1000","2","","n","","","","","","","","4","Food","","ALMONDS","Midweight","MM"
"AMPHORA ONE","1","P","1000","2","","n","","","4","","","4","","3","Food","","AMPHORA ONE","Midweight","MB"
"AMPHORA THREE","1","P","0100","2","","n","","","4","","","12","","2","Food","","AMPHORA THREE","Bulk","BB"
"AMPHORA TWO","1","P","0010","2","","n","","","4","","","8","","1","Food","","AMPHORA TWO","Bulk","BB"
"AXE","1","L","1110","3","_+1d6\nATK","w","","","","2","","10","","5","Military","Ceremonial","AXE","Elite","FE"
"BABOONS","1","M","0101","5","","n","","","","2","","18","","9","Elite","","BABOONS","Midweight","HM"
"BEES","1","L","0111","4","","n","","","","","1","8","","4","Elite","","BEES","Elite","HE"
"BRACELET","1","L","1011","3","","n","","","","","2","16","","5","Elite","","BRACELET","Elite","HE"
"CANAANITE AMPHORA","3","P","1000","1","","n","","","","","","","","1","Food","","CANAANITE AMPHORA","bulk","BBB"
"CANAANITE AMPHORA ALT","3","P","0100","1","","n","","","","","","","","1","Food","","CANAANITE AMPHORA ALT","bulk","BBB"
"CANAANITE GOD","1","M","1010","3","","n","","","","","","","","9","Religious","Elite","CANAANITE GOD","Elite","EE"
"CARNELIAN BEADS","1","L","0001","2","","n","","","","","2","12","","4","Elite","","CARNELIAN BEADS","Elite","HE"
"CAT","1","M","0000","3","","n","At each Palace, cat returns to Gift Pool on 1–3. Worth 20 Fame at the end of game.","x","","1","","0","","50","","","CAT","Elite","H"
"CEDAR","2","M","1010","1","_^+2 Ship","n","Play during Recovery / Refit only at a Palace ","","3","","","18","","6","Ship","Building","CEDAR","Bulk","BB"
"CHIEF HERALD","1","M","1111","","","x","","","","","","","","20","Diplomacy","Expert","CHIEF HERALD","Midweight","FWH"
"CLOTH","2","M","1000","2","_+1\nSHIP","n","May be played at any time, but will not prevent a Swept To outcome.","","","6","","15","","3","Ship","Dowry","CLOTH","Midweight","MMBB"
"COMMON BOW","1","L","1110","3","_|2d6\nRNG","r","One preliminary 2d6 attack during Trial Combat or Ship Melee (including Pirates).","","","","3","9","","2","Military","Ceremonial","COMMON BOW","elite","FE"
"COMMON SPEAR","1","L","0111","3","_+2d6\nATK|1d6\nRNG","rw","If equipped as Ranged weapon, one preliminary 1d6 attack during Trial Combat or Ship Melee (including Pirates).","","","","2","4","","2","Military","","COMMON SPEAR","elite","FE"
"COMMON SWORD","1","L","1011","3","_+1d6\nATK","w","","","","","3","9","","3","Military","","COMMON SWORD","elite","FE"
"COMMON THORAX","1","L","1101","3","_+2d6\nDEF","a","","","","","","","","2","Military","Ceremonial","COMMON THORAX","elite","HE"
"COPPER INGOT","8","H","0101","2","_^2d6 DIPL","n","Cannot be used for Diplomacy on Cyprus","","4","","","24","","4","Military","","COPPER INGOT","Bulk","BME"
"DATES","1","R","1010","1","","n","","","","","","","","6","Food","","DATES","Midweight","MM"
"EARRINGS","1","L","0110","4","","n","","","","","2","10","","5","Elite","","EARRINGS","Elite","HE"
"EBONY","2","H","0011","2","","n","","","2","","","10","","5","Building","Elite","EBONY","Midweight","MM"
"EXPERT HELMSMAN","1","M","1111","","","x","","","","","","","","20","Military","Expert","EXPERT HELMSMAN","Midweight","FWH"
"FRUITS","2","P","0110","1","_^+1 CREW","n","Play at any time, but may not be used to prevent Swept To result.","","","","2","6","","0","Food","","FRUITS","Midweight","MM"
"FUGITIVE DIVINER","1","M","1111","","","x","","","","","","","","20","Religious","Expert","FUGITIVE DIVINER","Midweight","WWM"
"GLASS INGOTS","2","H","0011","2","","n","","","4","","","16","","5","Elite","","GLASS INGOTS","Bulk","BBE"
"GOAT","4","H","0100","2","_+3d6\nORC","n","Can be played in addition to other Gift in oracle attempt, and adds +3.","","6","","","6","","1","Religious","","GOAT","Bulk","BBW"
"GOLD","4","M","1011","4","","n","","","","3","","28","","14","Elite","Dowry","GOLD","Elite","EEE"
"GOLD CHALICE","1","L","1101","4","","n","","","","","3","21","","8","Elite","Dowry","GOLD CHALICE","Elite","EE"
"GOLD RHYTON","1","M","1100","4","","n","","","","1","","8","","8","Elite","Ceremonial","GOLD RHYTON","Elite","EE"
"GREAVES","1","L","0101","3","_+1d6\nDEF","a","","","","","","","","3","Military","","GREAVES","Elite","HE"
"Healer Heading Home","1","M","1111","","","x","","","","","","","","20","Expert","","Healer Heading Home","Midweight","HWF"
"HELMET","1","L","0111","4","_+2d6\nDEF","a","","","","2","","10","","3","Military","","HELMET","Elite","FE"
"IRON KNIFE","1","L","1000","2","_+1d6\nATK","w","","","","","2","6","","3","Military","","IRON KNIFE","Elite","FE"
"IVORY DUCK","1","L","1001","3","","n","","","","","2","8","","5","Elite","","IVORY DUCK","Elite","HE"
"IVORY RAW","1","M","0101","4","","n","","","","3","","18","","6","Elite","Building","IVORY RAW","Midweight","MM"
