"Season","Count","Movement Point","Storm location","Storm Ship","Storm Crew","Combined Threshold","Swept To Location","","","","","","","","","","","","","","","","","","","",""
"Winter","1","18","Issikon Pelagos","3d6","3d6","3","Hatti","","","","","","","","","","","","","","","","","","","",""
"Winter","1","19","Aigyption Pelagos","3d6","4d6","2","Syria","","","","","","","","","","","","","","","","","","","",""
"Winter","1","20","Pelagos Tyron","4d6","4d6","3","Phoenicia","","","","","","","","","","","","","","","","","","","",""
"Winter","1","21","Issikon Pelagos","4d6","3d6","3","Cyprus North","","","","","","","","","","","","","","","","","","","",""
"Winter","1","21","Lykion Pelagos","4d6","5d6","3","Cyprus South","","","","","","","","","","","","","","","","","","","",""
"Winter","1","22","Libykon Pelagos","5d6","5d6","3","Philistia","","","","","","","","","","","","","","","","","","","",""
"Winter","1","22","Aigyption Pelagos","5d6","4d6","3","Egypt","","","","","","","","","","","","","","","","","","","",""
"Winter","1","23","Pelagos Tyron","4d6","4d6","3","Libya","","","","","","","","","","","","","","","","","","","",""
"Winter","1","23","Issikon Pelagos","4d6","4d6","2","Proteus' Island","","","","","","","","","","","","","","","","","","","",""
"Winter","1","24","Lykion Pelagos","4d6","5d6","3","Lukka","","","","","","","","","","","","","","","","","","","",""
"Winter","1","25","Libykon Pelagos","3d6","3d6","3","Hatti","","","","","","","","","","","","","","","","","","","",""
"Winter","1","26","Aigyption Pelagos","3d6","4d6","2","Syria","","","","","","","","","","","","","","","","","","","",""
"Spring","1","18","Pelagos Tyron","4d6","4d6","3","Phoenicia","","","","","","","","","","","","","","","","","","","",""
"Spring","1","19","Issikon Pelagos","4d6","3d6","3","Cyprus North","","","","","","","","","","","","","","","","","","","",""
"Spring","1","20","Lykion Pelagos","4d6","5d6","3","Cyprus South","","","","","","","","","","","","","","","","","","","",""
"Spring","1","21","Libykon Pelagos","5d6","5d6","3","Philistia","","","","","","","","","","","","","","","","","","","",""
"Spring","1","21","Aigyption Pelagos","5d6","4d6","3","Egypt","","","","","","","","","","","","","","","","","","","",""
"Spring","1","22","Pelagos Tyron","4d6","4d6","3","Libya","","","","","","","","","","","","","","","","","","","",""
"Spring","1","22","Issikon Pelagos","4d6","4d6","2","Proteus' Island","","","","","","","","","","","","","","","","","","","",""
"Spring","1","23","Lykion Pelagos","4d6","5d6","3","Lukka","","","","","","","","","","","","","","","","","","","",""
"Spring","1","23","Libykon Pelagos","3d6","3d6","3","Hatti","","","","","","","","","","","","","","","","","","","",""
"Spring","1","24","Aigyption Pelagos","3d6","4d6","2","Syria","","","","","","","","","","","","","","","","","","","",""
"Spring","1","25","Pelagos Tyron","4d6","4d6","3","Phoenicia","","","","","","","","","","","","","","","","","","","",""
"Spring","1","26","Issikon Pelagos","4d6","3d6","3","Cyprus North","","","","","","","","","","","","","","","","","","","",""
"Summer","1","18","Lykion Pelagos","4d6","5d6","3","Cyprus South","","","","","","","","","","","","","","","","","","","",""
"Summer","1","19","Libykon Pelagos","5d6","5d6","3","Philistia","","","","","","","","","","","","","","","","","","","",""
"Summer","1","20","Aigyption Pelagos","5d6","4d6","3","Egypt","","","","","","","","","","","","","","","","","","","",""
"Summer","1","21","Pelagos Tyron","4d6","4d6","3","Libya","","","","","","","","","","","","","","","","","","","",""
"Summer","1","21","Issikon Pelagos","4d6","4d6","2","Proteus' Island","","","","","","","","","","","","","","","","","","","",""
"Summer","1","22","Lykion Pelagos","4d6","5d6","3","Lukka","","","","","","","","","","","","","","","","","","","",""
"Summer","1","22","Libykon Pelagos","3d6","3d6","3","Hatti","","","","","","","","","","","","","","","","","","","",""
"Summer","1","23","Aigyption Pelagos","3d6","4d6","2","Syria","","","","","","","","","","","","","","","","","","","",""
"Summer","1","23","Pelagos Tyron","4d6","4d6","3","Phoenicia","","","","","","","","","","","","","","","","","","","",""
"Summer","1","24","Issikon Pelagos","4d6","3d6","3","Cyprus North","","","","","","","","","","","","","","","","","","","",""
"Summer","1","25","Lykion Pelagos","4d6","5d6","3","Cyprus South","","","","","","","","","","","","","","","","","","","",""
"Summer","1","26","Libykon Pelagos","5d6","5d6","3","Philistia","","","","","","","","","","","","","","","","","","","",""
"Autumn","1","18","Aigyption Pelagos","5d6","4d6","3","Egypt","","","","","","","","","","","","","","","","","","","",""
"Autumn","1","19","Pelagos Tyron","4d6","4d6","3","Libya","","","","","","","","","","","","","","","","","","","",""
"Autumn","1","20","Issikon Pelagos","4d6","4d6","2","Proteus' Island","","","","","","","","","","","","","","","","","","","",""
"Autumn","1","21","Lykion Pelagos","4d6","5d6","3","Lukka","","","","","","","","","","","","","","","","","","","",""
"Autumn","1","21","Libykon Pelagos","3d6","3d6","3","Hatti","","","","","","","","","","","","","","","","","","","",""
"Autumn","1","22","Aigyption Pelagos","3d6","4d6","2","Syria","","","","","","","","","","","","","","","","","","","",""
"Autumn","1","22","Pelagos Tyron","4d6","4d6","3","Phoenicia","","","","","","","","","","","","","","","","","","","",""
"Autumn","1","23","Issikon Pelagos","4d6","3d6","3","Cyprus North","","","","","","","","","","","","","","","","","","","",""
"Autumn","1","23","Lykion Pelagos","4d6","5d6","3","Cyprus South","","","","","","","","","","","","","","","","","","","",""
"Autumn","1","24","Libykon Pelagos","5d6","5d6","3","Philistia","","","","","","","","","","","","","","","","","","","",""
"Autumn","1","25","Aigyption Pelagos","5d6","4d6","3","Egypt","","","","","","","","","","","","","","","","","","","",""
"Autumn","1","26","Pelagos Tyron","4d6","4d6","3","Proteus' Island","","","","","","","","","","","","","","","","","","","",""
