Cap,,Count,L cost,510 characters max,
Amphikalypsis,"One Palace becomes hidden to all Heroes until a Hero moves there and spends two Oracle tokens to dispel. Mark hidden city with Maze marker shown above. If already in Palace when card is played, Hero may leave freely but not return except as described above. Cannot be played during Voyage phase.",1,O1,His palace / Once hid me away while coming home (Homer _Odyssey_ 4.617–9).,
Becalmed,All circles in one Sea Region cost 6 MP for this turn (for all players). Any Storm in this Sea Region is cancelled. ,1,O1,"Then right away the wind left off and a calm / Befell, windless, and a god put the waves to sleep (Homer, _Odyssey_ 12.168–9).",
Bird Omen,Gain two oracle tokens.,2,2,"Yet good were the omen-birds for him setting out, / On the right hand (Homer, _Odyssey_ 24.311–12).",
Change of Heart,Flip the Willingness of all Helens/Phantoms.,1,5,Thither I will not go—it would be a reproach— / Sharing that man’s bed (Homer _Iliad_ 3.410–11).,
Cheap Shot,Inflict one automatic HP of damage in Trial Combat OR One Crew loss in any Ship-to-Ship combat. ,1,1,"Paris struck Dëikhos from behind, at the bottom of his shoulder, / As he was fleeing among the front ranks, and drove the bronze clear through (Homer _Iliad_ 341–2).  ",
Cypriot Pirates,Forces immediate Ship-to-Ship battle with other Hero mid-voyage. Pirate strength 7d6 reduced by 1d6 for each sea AREA away from home territory. +2 Fame for every step of Pirates eliminated. Pirates cannot be played in Sea affected by Storm.,1,3,"Or do you rove at random / Like pirates over the sea who wander / Risking their souls, bringing evil to foreign people (Homer _Odyssey_ 3.72–4).",
Deflect,Enemy hero's attack damage in one Trial Combat round is redirected against himself OR Cancel Pirates card and take into hand to play later.,1,1,"And when advancing on each other they were near, / Menelaos missed, and his spear was turned aside, / But Peisandros struck the shield of glorious / Menelaos (Homer _Iliad_ 13.604–7)",
Disarm,"Opposing hero can't use primary weapon for the rest of this conflict (Trial Combat, Ship Battle, or Sack City) OR look at Opponent's hand and choose one Theme Card  to discard.",1,1,"Many fine swords, with dark-bound hilts, / Fell to earth (Homer _Iliad_ 15.713–14).",
Disguise,Hero can visit a neutral or enemy allied (but not friendly) Palace in a region already visited for all normal Encounter purposes.,1,3,"Disguised like that he entered the Trojans’ city and deceived they were, / Every one (Homer _Odyssey_ 4.249–50).",
Divine Patroness,Immediately cancel or cause storm (6d6) in any Sea: use Swept To location on current Voyage card. Storm also affects any active Pirates OR Change a Helen’s Willingness OR +5/-5 MPs to any Voyage card OR +2d6 to any one roll by Hero.,2,5,"Hera sends a great storm against them, under the force of which they make for Sidοn (ps.-Apollodorus Epitome 3.4).",
Escape,Shipwrecked/Captured Hero gets new ship and moves to adjacent Sea Circle. OR Cancel Pirates or Intercept card OR Remove unwilling Helen from game.,3,4,"But even from there, by courage and will and wit, / We escaped. These things too, I think, we shall someday look back on (Homer _Odyssey_ 12.211–12).",
Second Chance,"Reroll any one Trial Combat roll (yours or another player's) OR redo your movement for a turn in response to a Pirates or Intercept card. You regain all movement points, and may still move through the affected sea area, but will again suffer any active Pirates or Storm card.",1,1,"And Teukros launched another missile from his string / Straight at Hektor . . . / But he missed him that time too, for Apollo made it swerve (Homer _Iliad_ 8.309–11).",
First Strike,Roll first in Trial Combat against aggressor OR against Pirates OR in Ship battle resulting from Intercept.,1,1,"And him the son of Telamon, darting through the crowd / Struck from close at hand (Homer _Iliad_ 17.293–4).",
Help from Eidothea,Automatically succeed wrestling and escaping Proteus OR Shipwrecked Hero gets new ship and moves to adjacent Sea Circle OR Cancel Becalmed or Man Overboard OR +5 MP on one Voyage,1,4,"Daughter of mighty Proteus, old man of the sea / Eidothea, for her heart most of all I stirred (Homer _Odyssey_ 4.365–6).",
Hermes,Choose two existing Helen/Phantoms to swap (but not examine); roll for Willingness OR Relocate one Helen/Phantom to Ship or Palace in different Land Region; roll for Willingness. OR Remove Amphikalypsis marker from one Palace OR Rescue one Shipwrecked Hero (000). ,2,4,"Hermes swept me high into the skycoves / And concealing me in a cloud, brought me to the house of Proteus (Euripides _Helen_ 45–6).",
Inspiration,"Discard one or two Theme cards, then draw that many new ones + 1 (to replace Inspiration itself).",2,3,"But what I have in mind I will even say—what for my very / Self would I contrive, if such great need upon me came (Homer _Odyssey_ 5.188–9).",
Libyan Pirates,Forces immediate Ship-to-Ship battle with other Hero mid-voyage. Pirate strength 8d6 reduced by 1d6 for each sea AREA away from home territory. +2 Fame for every step of Pirates eliminated. Pirates cannot be played in Sea affected by Storm.,1,4,"Or do you rove at random / Like pirates over the sea who wander / Risking their souls, bringing evil to foreign people (Homer _Odyssey_ 3.72–4).",
Lukka Pirates,Forces immediate Ship-to-Ship combat with other Hero mid-voyage. Pirate strength 8d6 reduced by 1d6 for each sea AREA away from home territory. +2 Fame for every step of Pirates eliminated.,1,4,"Or do you rove at random / Like pirates over the sea who wander / Risking their souls, bringing evil to foreign people (Homer _Odyssey_ 3.72–4).",
